frame_index,queue_index,normalized_action_0,normalized_action_1,action_0,action_1,ground_truth_action_0,ground_truth_action_1,select_action_latency_ms
0,0,-0.38034141063690186,0.17181158065795898,189.59713745117188,310.48974609375,233.0,71.0,2.3365260001355637
0,1,-0.36534595489501953,0.16738244891166687,191.12066650390625,310.0643615722656,233.0,71.0,0.17627600004743726
0,2,-0.335351824760437,0.17887622117996216,194.16806030273438,311.168212890625,233.0,71.0,0.14758199995412724
0,3,-0.3537769317626953,0.18248842656612396,192.2960662841797,311.51513671875,233.0,71.0,0.14080599999033439
0,4,-0.29312247037887573,0.2196514904499054,198.4585418701172,315.0842590332031,233.0,71.0,0.13702399996873282
0,5,-0.41568005084991455,0.18721884489059448,186.00674438476562,311.9694519042969,233.0,71.0,0.15536599994447897
0,6,-0.3600393533706665,0.17752395570278168,191.65980529785156,311.0383605957031,233.0,71.0,0.14238900007512711
0,7,-0.2790359556674957,0.2035818099975586,199.8897247314453,313.5409240722656,233.0,71.0,0.13656999999511754
0,8,-0.3416976034641266,0.2981230318546295,193.5233154296875,322.62060546875,233.0,71.0,0.1343280000583036
0,9,-0.37561413645744324,0.19887641072273254,190.07742309570312,313.0890197753906,233.0,71.0,0.13529100010600814
80,0,-0.6601729989051819,0.05461069568991661,161.16635131835938,299.2338562011719,260.0,191.0,1.8974039999193337
80,1,-0.6474213004112244,0.06975546479225159,162.46192932128906,300.6883544921875,260.0,191.0,0.14636999981121335
80,2,-0.5816014409065247,0.06497098505496979,169.14920043945312,300.2288513183594,260.0,191.0,0.1312760000473645
80,3,-0.619685173034668,0.06852060556411743,165.2799072265625,300.5697326660156,260.0,191.0,0.13014399996791326
80,4,-0.5866459608078003,0.091377854347229,168.6366729736328,302.76495361328125,260.0,191.0,0.1358179999897402
80,5,-0.6342998147010803,0.06343294680118561,163.79507446289062,300.08111572265625,260.0,191.0,0.13335300013750384
80,6,-0.6272194385528564,0.04924027994275093,164.51443481445312,298.71807861328125,260.0,191.0,0.13468899987856275
80,7,-0.585724949836731,0.06876328587532043,168.73025512695312,300.5930480957031,260.0,191.0,0.13416600017990277
80,8,-0.5919263958930969,0.13446547091007233,168.10018920898438,306.9030456542969,260.0,191.0,0.12251700013621303
80,9,-0.5906954407691956,0.06910136342048645,168.22525024414062,300.6255187988281,260.0,191.0,0.12177700000393088
160,0,-0.6484408974647522,0.24875232577323914,162.35833740234375,317.8790588378906,164.0,355.0,1.9146399999954156
160,1,-0.6275539398193359,0.2015221118927002,164.48043823242188,313.3431091308594,164.0,355.0,0.1528069999494619
160,2,-0.5628877878189087,0.18423700332641602,171.0504913330078,311.6830749511719,164.0,355.0,0.14490500007013907
160,3,-0.649185299873352,0.2428756207227707,162.28271484375,317.3146667480469,164.0,355.0,0.13260199989417742
160,4,-0.7146885991096497,0.17189384996891022,155.62759399414062,310.4976501464844,164.0,355.0,0.13428800002657226
160,5,-0.6315587162971497,0.22534780204296112,164.0735626220703,315.6313171386719,164.0,355.0,0.1337720000265108
160,6,-0.6530313491821289,0.1809825599193573,161.89195251464844,311.3705139160156,164.0,355.0,0.13530999990507553
160,7,-0.6235924363136292,0.23594093322753906,164.8829345703125,316.648681640625,164.0,355.0,0.13635300001624273
160,8,-0.6912631392478943,0.16201701760292053,158.0076141357422,309.549072265625,164.0,355.0,0.130615999978545
160,9,-0.5524613261222839,0.2460097074508667,172.1098175048828,317.61566162109375,164.0,355.0,0.13472599994202028
